k2,k5,k10
123196.5431491209,117576.4032489269,119893.23316451354
121928.80725332788,118728.98783265239,122185.74771011206
130551.33884794917,116687.1516118613,122282.38296325345
125120.21158976285,122490.88754267713,118832.37759492308
129663.1471520373,113659.15238120881,122511.98518394536
136493.1247335342,126129.68427392794,117464.9047448883
127223.23111989297,120085.10004864761,123680.65008430276
136303.90290508763,118564.10009679271,118021.73390919794
119593.68531508156,121216.72814691611,118980.79729576397
121265.81345366442,120544.84108677144,120027.39558775039
124835.11178033147,120347.98880925622,119300.67523735575
130534.11394382828,119716.1338505136,121013.32460157484
116998.49461924894,121681.7437128334,122898.47314364539
125430.39084234188,116269.2312629721,117626.49461847261
128036.64645006196,117532.55271099978,116892.99450758743
128750.23654681783,115282.54500729109,119218.29995461222
121251.84895479036,121161.99061053107,117206.94885085702
125646.45508899546,119409.43619146179,118598.64954022654
130415.86920914246,120683.70110492338,116251.46814754876
126095.56233754242,119166.3218548814,122298.07881577047
118939.82826852909,127631.30202634224,119718.94926762689
122164.58050164572,117625.22089027734,117802.06369587882
121229.55718436127,119653.35638667595,122195.00093715754
120146.16034095199,122352.49399026168,119224.05621893029
137019.97752418282,121768.11374136589,119920.17963349402
127979.7774239411,121776.94503553415,113863.17084784286
122374.68313562876,117397.41452997444,118325.01048939805
129374.99439064911,114891.81017313368,120088.2522950963
132583.44497328094,108776.7930147077,122445.03130540802
118932.09760939883,119793.14082021797,121587.73848354847
